result_id,cdm_name,result_type,package_name,package_version,group_name,group_level,strata_name,strata_level,variable_name,variable_level,estimate_name,estimate_type,estimate_value,additional_name,additional_level
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Soft tissues,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4338971
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Soft tissues,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4338971
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Benign paroxysmal positional vertigo or nystagmus,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4111253
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Benign paroxysmal positional vertigo or nystagmus,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4111253
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Osteochondritis of carpal lunate,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4280587
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Osteochondritis of carpal lunate,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4280587
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Asthma not disturbing sleep,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4017183
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Asthma not disturbing sleep,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4017183
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Pregnant,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4299535
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Pregnant,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4299535
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Viral disease,-inf to -366,count,numeric,2,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 440029
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Viral disease,-inf to -366,percentage,percentage,33.3333333333333,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 440029
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Finding of foot region,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4022924
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Finding of foot region,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4022924
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Cough,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 254761
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Cough,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 254761
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Chest pain,-inf to -366,count,numeric,2,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 77670
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Chest pain,-inf to -366,percentage,percentage,33.3333333333333,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 77670
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Vertigo,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 439383
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Vertigo,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 439383
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Molluscum contagiosum infection,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 141216
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Molluscum contagiosum infection,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 141216
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Foot pain,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4169905
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Foot pain,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 4169905
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Swelling / lump finding,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 443257
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Swelling / lump finding,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 443257
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Insomnia,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 436962
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Insomnia,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 436962
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Wheezing,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 314754
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Wheezing,-inf to -366,percentage,percentage,16.6666666666667,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 314754
1,cdmGold,summarised_large_scale_characteristics,PatientProfiles,0.6.2,cohort_name,hpv_outc_anal_d_cohort,overall,overall,Lesion of ulnar nerve,-inf to -366,count,numeric,1,table_name &&& type &&& analysis &&& concept,condition_occurrence &&& event &&& standard &&& 374027
